Designator,Mid X,Mid Y,Rotation,Layer
9042_16R1,48.26,-118.11,0.0,top
BT1,45.72,-54.61,0.0,top
C1,68.54,-96.52,0.0,top
C2,45.72,-77.47,270.0,top
C3,116.84,-50.76,270.0,top
C4,116.84,-86.32,90.0,top
C5,47.99,-102.87,0.0,top
D00,66.854,-67.356,0.0,top
D01,66.854,-74.826,0.0,top
D02,66.854,-82.296,0.0,top
D03,66.854,-89.766,0.0,top
D10,74.334,-67.356,0.0,top
D11,74.334,-74.826,0.0,top
D12,74.334,-82.296,0.0,top
D13,74.334,-89.766,0.0,top
D20,81.814,-67.356,0.0,top
D21,81.814,-74.826,0.0,top
D22,81.814,-82.296,0.0,top
D23,81.814,-89.766,0.0,top
D30,89.294,-67.356,0.0,top
D31,89.294,-74.826,0.0,top
D32,89.294,-82.296,0.0,top
D33,89.294,-89.766,0.0,top
D4,48.26,-109.22,0.0,top
D40,96.774,-67.356,0.0,top
D41,96.774,-74.826,0.0,top
D42,96.774,-82.296,0.0,top
D43,96.774,-89.766,0.0,top
Q1,52.07,-49.38,0.0,top
Q2,52.07,-55.17,0.0,top
Q3,52.07,-60.96,0.0,top
Q4,52.07,-66.75,0.0,top
Q5,58.42,-49.38,0.0,top
Q6,58.42,-55.17,0.0,top
Q7,58.42,-60.96,0.0,top
R1,44.45,-86.36,0.0,top
R2,44.45,-90.41,0.0,top
R3,44.45,-94.46,0.0,top
R4,55.88,-86.36,0.0,top
R5,55.88,-90.41,0.0,top
R6,55.88,-94.46,0.0,top
RN1,102.75,-97.86,90.0,top
RN2,106.9,-97.86,90.0,top
RN3,111.05,-97.86,90.0,top
RN4,115.2,-97.86,90.0,top
RN5,116.84,-68.58,90.0,top
SW6,44.45,-66.04,0.0,top
SW_DOWN1,89.916,-114.3,0.0,top
SW_FIRE1,61.67,-106.97,0.0,top
SW_LEFT1,78.232,-106.68,0.0,top
SW_RIGHT1,101.6,-107.478,0.0,top
SW_UP1,90.118,-101.6,0.0,top
U1,55.885,-76.2,0.0,top
U2,107.95,-55.88,0.0,top
U3,107.95,-80.01,0.0,top
U4,74.342,-52.324,90.0,top
U5,88.392,-52.324,90.0,top
